41.9,12.4833,45.4667,9.2,4.84782
41.9,12.4833,40.8333,14.25,2.06371
41.9,12.4833,45.05,7.66667,5.75524
41.9,12.4833,43.7667,11.25,2.23731
41.9,12.4833,40.6833,14.7833,2.60198
41.9,12.4833,38.1167,13.3667,3.88509
41.9,12.4833,37.5,15.1,5.11927
41.9,12.4833,44.4167,8.95,4.33798
41.9,12.4833,41.1333,16.85,4.43346
41.9,12.4833,44.4833,11.3333,2.82774
41.9,12.4833,45.45,11,3.84744
41.9,12.4833,42.4667,14.2167,1.82361
41.9,12.4833,39.2167,9.11667,4.3052
41.9,12.4833,45.4386,12.3267,3.54208
41.9,12.4833,38.1833,15.5667,4.82914
41.9,12.4833,45.7833,9.08333,5.16142
41.9,12.4833,41.0667,14.3333,2.02903
41.9,12.4833,45.6486,13.78,3.96654
41.9,12.4833,43.7167,10.3833,2.77674
41.9,12.4833,40.4761,17.2297,4.95537
41.9,12.4833,45.6833,9.71667,4.68701
41.9,12.4833,38.1,15.65,4.94649
41.9,12.4833,45.6667,12.245,3.7742
41.9,12.4833,44.6667,10.9167,3.17945
41.9,12.4833,44.8,10.3333,3.61006
41.9,12.4833,40.3833,18.1833,5.89833
41.9,12.4833,43.55,10.3167,2.72341
41.9,12.4833,41.45,15.5667,3.116
41.9,12.4833,43.1333,12.3667,1.23884
41.9,12.4833,44.4175,12.2011,2.53327
41.9,12.4833,44.8333,11.5833,3.0683
41.9,12.4833,37.0667,15.3,5.59417
41.9,12.4833,40.7272,8.56028,4.0946
41.9,12.4833,46.0619,13.2422,4.23057
41.9,12.4833,41.3167,16.2833,3.84451
41.9,12.4833,46.0667,11.1333,4.37991
41.9,12.4833,40.6333,17.9333,5.59526
41.9,12.4833,45.4667,8.63333,5.2482
41.9,12.4833,43.6333,13.5,2.00949
41.9,12.4833,46.5333,11.4,4.7583
41.9,12.4833,38.9,16.5833,5.08035
41.9,12.4833,43.4167,11.8833,1.63104
41.9,12.4833,37.8,12.4333,4.1003
41.9,12.4833,44.9,8.2,5.22943
41.9,12.4833,40.6333,15.8,3.55031
41.9,12.4833,36.9167,14.7333,5.46773
41.9,12.4833,42.3667,13.3667,0.999028
41.9,12.4833,41.1333,14.75,2.39281
41.9,12.4833,42.1,11.8,0.712
41.9,12.4833,39.0833,17.1333,5.43655
41.9,12.4833,43.3167,11.35,1.81422
41.9,12.4833,41.5667,14.65,2.19216
41.9,12.4833,40.9167,9.51667,3.12539
41.9,12.4833,45.7333,7.33333,6.42004
41.9,12.4833,38.6667,16.1,4.85126
41.9,12.4833,45.4167,11.8833,3.56748
41.9,12.4833,44.2833,8.5,4.6419
41.9,12.4833,37.4833,14.0667,4.6919
41.9,12.4833,45.55,11.55,3.76744
41.9,12.4833,45.945,13.5978,4.19571
41.9,12.4833,42.4,12.85,0.620036
41.9,12.4833,42.7667,11.1333,1.60425
41.9,12.4833,46.5167,11.3667,4.7498
41.9,12.4833,44.0167,10.15,3.15035
41.9,12.4833,39.5611,8.89944,4.27956
41.9,12.4833,41.4667,12.8667,0.578552
41.9,12.4833,45.3167,8.41667,5.31144
41.9,12.4833,46.145,12.2214,4.25307
41.9,12.4833,45.1167,10.0333,4.04344
41.9,12.4833,39.9031,8.59194,4.37386
41.9,12.4833,45.15,10.8,3.66007
41.9,12.4833,43.8833,11.1,2.4181
41.9,12.4833,37.5667,14.2667,4.68594
41.9,12.4833,43.8333,10.4833,2.78169
41.9,12.4833,42.4167,12.1,0.643342
41.9,12.4833,39.4578,8.74056,4.4691
41.9,12.4833,41.2833,16.4167,3.98138
41.9,12.4833,45.1667,9.16667,4.65525
41.9,12.4833,45.0167,9.66667,4.20086
41.9,12.4833,45.5833,9.26667,4.89018
41.9,12.4833,45.9333,8.53333,5.64537
41.9,12.4833,44.0633,12.5808,2.16553
41.9,12.4833,41.2167,16.2833,3.86095
41.9,12.4833,43.15,13.7167,1.75602
41.9,12.4833,40.3167,9.35,3.51066
41.9,12.4833,44.9,8.61667,4.89399
41.9,12.4833,40.6667,16.6,4.29745
41.9,12.4833,43.9167,10.9,2.56396
41.9,12.4833,44.7167,10.6,3.3883
41.9,12.4833,41.6333,13.3167,0.874961
41.9,12.4833,43.8833,8.05,4.85675
41.9,12.4833,39.9256,9.65722,3.44751
41.9,12.4833,39.3114,8.535,4.72125
41.9,12.4833,40.9,9.1,3.52802
41.9,12.4833,38.0167,12.4833,3.88333
41.9,12.4833,45.0667,11.7833,3.24311
41.9,12.4833,42.65,13.7,1.42926
41.9,12.4833,46.1667,9.86667,5.00514
41.9,12.4833,39.8758,9.54167,3.57081
41.9,12.4833,45.5667,8.05,5.75316
41.9,12.4833,39.3,16.25,4.57687
41.9,12.4833,44.3833,7.53333,5.538
41.9,12.4833,42.85,13.5667,1.44087
41.9,12.4833,40.9,14.7833,2.50799
41.9,12.4833,42.35,14.1667,1.74244
41.9,12.4833,42.5667,12.6167,0.67987
41.9,12.4833,45.8,8.83333,5.34158
41.9,12.4833,44.2236,12.0528,2.36316
41.9,12.4833,45.85,9.38333,5.02121
41.9,12.4833,39.1672,8.52222,4.81233
41.9,12.4833,43.3,13.45,1.70131
41.9,12.4833,44.1167,9.83333,3.45487
41.9,12.4833,43.9,12.9167,2.04641
41.9,12.4833,45.9639,12.6575,4.06762
41.9,12.4833,45.3167,9.5,4.53584
41.9,12.4833,45.55,10.25,4.27905
41.9,12.4833,37.3167,13.5667,4.70962
45.4667,9.2,41.9,12.4833,4.84782
45.4667,9.2,40.8333,14.25,6.85349
