	;Rome;Milan;Naples;Turin;Florence;Salerno;Palermo;Catania;Genoa;Bari;Bologna;Verona;Pescara;Cagliari;Venice;Messina;Como;Caserta;Trieste;Pisa;Taranto;Bergamo;Reggio di Calabria;Treviso;Modena;Parma;Lecce;Livorno;Foggia;Perugia;Ravenna;Ferrara;Siracusa;Sassari;Udine;Barletta;Trento;Brindisi;Novara;Ancona;Soprabolzano;Catanzaro;Arezzo;Marsala;Asti;Potenza;Ragusa;L’Aquila;Benevento;Civitavecchia;
Bologna;2.82774;2.34905;4.6722;3.7102;0.721495;5.13249;6.68348;7.9344;2.38427;6.45415;0;1.02252;3.5186;5.71414;1.37814;7.5902;2.59856;4.54682;2.70999;1.22077;7.12918;2.01336;7.70588;1.49379;0.455216;1.04894;7.98326;1.38012;5.2079;1.70008;0.870272;0.430116;8.41079;4.66885;2.47707;5.87625;1.59592;7.64084;2.87349;2.32743;2.05108;7.66395;1.20012;6.77325;3.16092;5.89692;8.29545;2.93508;4.78499;2.42859
Verona;3.84744;1.80008;5.64589;3.35725;1.7018;6.08562;7.70577;8.94497;2.29571;7.27022;1.02252;0;4.38717;6.51163;1.32672;8.58248;1.94544;5.50679;2.78709;1.83976;7.97176;1.30437;8.69741;1.26371;0.787753;0.931099;8.79041;2.01914;6.07079;2.68974;1.5839;0.848855;9.4218;5.31572;2.32423;6.70806;0.630917;8.44224;2.36673;3.09035;1.15482;8.60675;2.21692;7.78312;2.85351;6.80002;9.31427;3.88691;5.71805;3.4442
Pescara;1.82361;5.84525;1.63367;7.04103;3.239;1.8712;4.43227;5.04461;5.61607;2.95165;3.5186;4.38717;0;6.04752;3.52201;4.49104;6.11158;1.40485;3.21177;4.03199;3.61121;5.53145;4.59589;3.75865;3.96611;4.53042;4.48048;4.04767;1.69;1.96645;2.80503;3.54056;5.5076;5.9178;3.72499;2.36508;4.73993;4.14424;6.33827;1.3692;4.94686;4.28045;2.51931;4.9958;6.4901;2.42241;5.574;0.855862;1.43604;2.44432
Cagliari;4.3052;6.25056;5.38189;6.01085;5.0253;5.85339;4.39005;6.22473;5.20267;7.96731;5.71414;6.51163;6.04752;0;7.00119;6.53225;6.56675;5.53499;7.94459;4.67487;8.21023;6.49444;6.62808;7.16861;5.73956;5.71436;9.14142;4.49642;6.82571;5.08948;6.04669;6.13444;6.54646;1.60977;7.99237;7.46801;7.14069;8.92976;6.26866;6.22258;7.66467;7.47338;5.02936;3.60655;5.75678;6.83183;6.06934;5.29009;5.95047;3.93877
Venice;3.54208;3.12679;4.99077;4.67618;1.98862;5.35237;7.39544;8.4091;3.52792;6.24467;1.37814;1.32672;3.52201;7.00119;0;7.94586;3.2616;4.81047;1.46843;2.59647;6.97613;2.62145;8.05604;0.242238;1.60748;2.09313;7.73669;2.75807;5.13874;2.30563;1.0288;0.958596;8.88426;6.03182;1.1076;5.71364;1.34852;7.38413;3.69344;2.15308;1.43427;7.80209;2.06998;7.63936;4.16167;5.92914;8.85526;3.24321;4.94044;3.3799
Messina;4.82914;9.67375;2.95907;10.4671;7.05742;2.61985;2.20101;0.827479;9.09036;3.21706;7.5902;8.58248;4.49104;6.53225;7.94586;0;9.98968;3.13604;7.6761;7.58187;2.83242;9.5117;0.117851;8.18741;7.97848;8.43612;3.41862;7.50757;3.26667;5.89428;7.08462;7.75174;1.14807;7.45392;8.21435;3.21425;9.04441;3.40641;10.0557;5.82869;9.33186;1.24387;6.39959;3.1567;9.96902;2.46109;1.51621;4.72655;3.06095;5.43397
Como;5.16142;0.337474;7.1552;1.59522;2.95996;7.64853;8.78207;10.2379;1.37315;9.05227;2.59856;1.94544;6.11158;6.56675;3.2616;9.98968;0;7.05758;4.6986;2.44154;9.72267;0.64118;10.1072;3.16382;2.14664;1.59042;10.5816;2.55125;7.79817;4.21933;3.40383;2.67442;10.7064;5.08309;4.16821;8.47296;2.06949;10.2394;0.550252;4.91217;2.43505;10.1799;3.66621;8.65772;1.24922;8.46381;10.5138;5.4791;7.33032;4.57681
Caserta;2.02903;6.761;0.247768;7.76604;4.09841;0.591139;3.10434;3.64814;6.34057;2.51755;4.54682;5.50679;1.40485;5.53499;4.81047;3.13604;7.05758;0;4.61523;4.75657;2.95598;6.52895;3.24572;5.05184;4.96323;5.47154;3.91017;4.72235;1.29153;2.85287;3.97171;4.66372;4.11515;5.78303;5.11305;1.96596;5.93633;3.62599;7.20069;2.69856;6.20394;3.12361;3.39485;3.77904;7.23272;1.52934;4.16923;1.62001;0.421967;2.73597
Trieste;3.96654;4.58361;4.83816;6.14257;3.15319;5.06564;7.54328;8.25483;4.98463;5.46009;2.70999;2.78709;3.21177;7.94459;1.46843;7.6761;4.6986;4.61523;0;3.90765;6.21734;4.06348;7.77679;1.53511;3.02703;3.5496;6.86385;4.04955;4.56295;2.88516;2.00213;2.34308;8.71551;7.17395;0.678269;5.00324;2.67948;6.51177;5.14988;2.03464;2.53912;7.3077;2.92898;7.9633;5.62999;5.40679;8.78383;3.30787;4.61829;4.06362
Pisa;2.77674;2.11253;4.82335;3.02623;0.868108;5.34426;6.3451;7.80345;1.59513;6.96358;1.22077;1.83976;4.03199;4.67487;2.59647;7.58187;2.44154;4.75657;3.90765;0;7.57458;2.07659;7.69966;2.69598;1.08947;1.08449;8.4824;0.179506;5.65727;2.06734;1.9482;1.63919;8.27019;3.50147;3.69778;6.36946;2.46678;8.15533;2.47487;3.11778;2.99453;7.85113;1.52971;6.26174;2.48339;6.23275;8.07233;3.27457;5.0736;2.14955
